"Rank","Title","Producer","Runtime","Genre","Raiting","IMDB","Year"
1,"Дэдпул","реж. Тим Миллер",108,"фантастика, боевик, комедия",7.498239979,8.00858437,"2016"
2,"Отряд самоубийц","реж. Дэвид Эйр",118,"фантастика, боевик, фэнтези",6.086193304,6.00565586,"2016"
3,"Бэтмен против Супермена: На заре справедливости","реж. Зак Снайдер",153,"фантастика, боевик, фэнтези",6.744140925,6.50597175,"2016"
4,"Выживший","реж. Алехандро Гонсалес Иньярриту",156,"приключения, вестерн, боевик",7.816215421,8.00657689,"2015"
5,"Фантастические твари и где они обитают","реж. Дэвид Йейтс",132,"фэнтези, приключения, семейный",7.559183436,7.30384785,"2016"
6,"Доктор Стрэндж","реж. Скотт Дерриксон",115,"фантастика, фэнтези, боевик",7.427180304,7.5055426,"2016"
7,"Первый мститель: Противостояние","реж. Энтони Руссо...",142,"фантастика, боевик, приключения",7.403148737,7.80620911,"2016"
8,"Зверополис","реж. Байрон Ховард...",108,"мультфильм, комедия, криминал",8.294258501,8.00404371,"2016"
9,"Варкрафт","реж. Дункан Джонс",123,"фэнтези, боевик, приключения",7.591150851,6.80233224,"2016"
10,"Омерзительная восьмерка","реж. Квентин Тарантино",187,"вестерн, криминал, триллер",7.883198664,7.80475969,"2015"
11,"Дом странных детей Мисс Перегрин","реж. Тим Бёртон",127,"фэнтези, триллер, драма",6.800109867,6.70147361,"2016"
12,"Люди Икс: Апокалипсис","реж. Брайан Сингер",143,"фантастика, боевик, приключения",6.996120222,6.90374017,"2016"
13,"Прибытие","реж. Дени Вильнёв",116,"фантастика, триллер, драма",7.498162928,7.90549251,"2016"
14,"Изгой-один: Звёздные войны. Истории","реж. Гарет Эдвардс",133,"фантастика, боевик, приключения",7.181103697,7.80519072,"2016"
15,"Звёздные войны: Пробуждение силы","реж. Джей Джей Абрамс",138,"фантастика, боевик, приключения",7.101167877,7.90826527,"2015"
16,"Игра на понижение","реж. Адам МакКей",130,"драма, комедия, биография",7.27789221,7.80329685,"2015"
17,"Хардкор","реж. Илья Найшуллер",96,"боевик, фантастика",7.0897974,6.7081718,"2016"
18,"В центре внимания","реж. Том МакКарти",129,"драма, криминал, биография",7.49878121,8.10387212,"2015"
19,"Иллюзия обмана 2","реж. Джон М. Чу",129,"боевик, триллер, комедия",6.586116199,6.50229375,"2016"
20,"Инферно","реж. Рон Ховард",121,"боевик, триллер, драма",6.34563847,6.20146586,"2016"
21,"Тайная жизнь домашних животных","реж. Крис Рено...",87,"мультфильм, комедия, приключения",6.81897205,6.50173385,"2016"
22,"До встречи с тобой","реж. Теа Шэррок",106,"драма, мелодрама",7.16382767,7.40188608,"2016"
23,"Славные парни","реж. Шейн Блэк",115,"криминал, комедия, боевик",7.132108925,7.40255217,"2016"
24,"Великолепная семерка","реж. Антуан Фукуа",132,"боевик, вестерн, приключения",6.65853721,6.90175268,"2016"
25,"Экипаж","реж. Николай Лебедев",138,"драма, триллер, приключения",7.61092538,6.704328,"2016"
26,"Пассажиры","реж. Мортен Тильдум",116,"фантастика, триллер, драма",7.142160148,7.00326461,"2016"
27,"Игра престолов  (сериал)","реж. Дэвид Наттер...",55,"фэнтези, драма, боевик",8.999288302,9.301640717,"2011 – 2019"
28,"Кловерфилд, 10","реж. Дэн Трахтенберг",103,"триллер, драма, фантастика",6.86082117,7.2027352,"2016"
29,"Стартрек: Бесконечность","реж. Джастин Лин",122,"фантастика, боевик, триллер",6.86367169,7.10217392,"2016"
30,"Девушка в поезде","реж. Тейт Тейлор",112,"триллер, драма, криминал",6.55070029,6.50159041,"2016"
31,"Расплата","реж. Гэвин О’Коннор",128,"боевик, триллер, драма",7.38778841,7.30244383,"2016"
32,"Книга джунглей","реж. Джон Фавро",105,"фэнтези, драма, приключения",7.1537016,7.40248853,"2016"
33,"Боги Египта","реж. Алекс Пройас",127,"фэнтези, боевик, приключения",6.03653908,5.4099697,"2016"
34,"Братья из Гримсби","реж. Луи Летерье",83,"боевик, триллер, комедия",6.39253697,6.208624,"2016"
35,"Охотники за привидениями","реж. Пол Фиг",116,"фантастика, фэнтези, боевик",4.41048325,5.20195065,"2016"
36,"Джейсон Борн","реж. Пол Гринграсс",123,"боевик, триллер",6.1424093,6.6019765,"2016"
37,"Дуэлянт","реж. Алексей Мизгирёв",110,"драма",6.6164271,6.402616,"2016"
38,"28 панфиловцев ","реж. Ким Дружинин...",105,"военный, драма, история",7.51849152,6.804187,"2016"
39,"Полный расколбас","реж. Грег Тирнан...",89,"мультфильм, фэнтези, комедия",5.88654339,6.10165998,"2016"
40,"Человек – швейцарский нож","реж. Дэн Кван...",97,"фэнтези, драма, комедия",6.722609,7.0097707,"2016"
41,"Под покровом ночи","реж. Том Форд",116,"триллер, драма",7.29688729,7.5021881,"2016"
42,"Парни со стволами","реж. Тодд Филлипс",114,"драма, комедия, криминал",6.87467824,7.10163888,"2016"
43,"Союзники","реж. Роберт Земекис",121,"боевик, триллер, драма",7.10259704,7.10132385,"2016"
44,"По соображениям совести","реж. Мэл Гибсон",139,"драма, военный, биография",7.932111876,8.10394556,"2016"
45,"Алиса в Зазеркалье","реж. Джеймс Бобин",113,"фэнтези, приключения, семейный",6.63353108,6.2085186,"2016"
46,"Чудо на Гудзоне","реж. Клинт Иствуд",96,"драма, биография",7.4007142,7.40217506,"2016"
47,"Глубоководный горизонт","реж. Питер Берг",107,"боевик, триллер, драма",7.04754128,7.10140558,"2016"
48,"Тарзан. Легенда","реж. Дэвид Йейтс",110,"фэнтези, боевик, драма",6.22443663,6.20156123,"2016"
49,"Светская жизнь","реж. Вуди Аллен",96,"драма, мелодрама, комедия",6.90349104,6.6065993,"2016"
50,"Нерв","реж. Генри Джуст...",96,"боевик, триллер, драма",6.49254405,6.50108042,"2016"
